City,Club,Stadium,Capacity
Birmingham,Aston Villa,Villa Park,"42,785"
Brighton,Brighton & Hove Albion,The Amex,"31,800"
Burnley,Burnley,Turf Moor,"22,619"
Leeds,Leeds United,Elland Road,"39,460"
Leicester,Leicester City,King Power Stadium,"32,312"
Liverpool,Everton,Goodison Park,"40,157"
Liverpool,Liverpool,Anfield,"54,074"
London,Arsenal,Emirates Stadium,"60,361"
London,Brentford,Brentford Community Stadium,"17,250"
London,Chelsea,Stamford Bridge,"41,837"
London,Crystal Palace,Selhurst Park,"26,225"
London,Tottenham Hotspur,Tottenham Hotspur Stadium,"62,303"
London,West Ham United,London Stadium,"60,000"
Manchester,Manchester City,Etihad Stadium,"55,000"
Manchester,Manchester United,Old Trafford,"75,811"
Newcastle upon Tyne,Newcastle United,St James Park,"52,339"
Norwich,Norwich City,Carrow Road,"27,010"
Southampton,Southampton,St Mary's Stadium,"32,689"
Watford,Watford,Vicarage Road,"21,500"
Wolverhampton,Wolverhampton Wanderers,Molineux Stadium,"31,700"
